location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Netherlands,Europe,17134873.0,82.28,3.32,48472.545,830570902561.7849,71971.0,6226.0,1464715.0,8548152.063922504,420026.457155533,36335.256176103554
New Caledonia,Oceania,285491.0,77.55,,,,23.0,0.0,,,8056.295995320343,0.0
New Zealand,Oceania,4822233.0,82.29,2.61,36085.843,174014342947.419,1408.0,22.0,777560.0,16124480.090447724,29198.09142362055,456.2201784940711
Nicaragua,North America,6624554.0,74.48,0.9,5321.444,35252193135.976006,4494.0,137.0,,,67838.52920513593,2068.0637519144684
Niger,Africa,24206636.0,62.42,0.3,926.0,22415344936.0,1177.0,69.0,,,4862.303047808874,285.0458031425763
Nigeria,Africa,206139587.0,54.69,,5338.454000000001,1100466702778.498,54463.0,1027.0,405916.0,196913.17223799424,26420.446840227734,498.2061014801587
Northern Mariana Islands,Oceania,57557.0,76.74,,,,57.0,2.0,,,99032.26366905849,3474.816269089772
Norway,Europe,5421242.0,82.4,3.6,64800.057,351296790610.794,10871.0,264.0,711225.0,13119226.184700849,200526.00492654636,4869.732802925972
Oman,Asia,5106622.0,77.86,1.6,37960.709,193850991714.99802,85928.0,689.0,,,1682677.9033184755,13492.285115287563
Pakistan,Asia,220892331.0,67.27,0.6,5034.708,1112128386024.348,297014.0,6328.0,2662508.0,1205341.981745849,134460.98316559484,2864.7440910929586
Palestine,Asia,5101416.0,74.05,,4449.898,22700780855.568,31333.0,184.0,,,614202.0176358877,3606.8417082629608
Panama,North America,4314768.0,78.51,2.3,22267.037,96077098702.416,94084.0,2030.0,336345.0,7795204.747972544,2180511.211726795,47047.72075810333
Papua New Guinea,Oceania,8947027.0,64.5,,3823.194,34206219944.238,471.0,5.0,,,5264.318527260508,55.884485427393926
Paraguay,South America,7132530.0,74.25,1.3,8827.01,62958913635.3,19138.0,358.0,185921.0,2606662.712950384,268319.9369648638,5019.256841541501
Peru,South America,32971846.0,76.74,1.6,12236.706,403466785779.276,663437.0,29259.0,584232.0,1771911.709159384,2012131.8048131124,88739.34446982434
Philippines,Asia,109581085.0,71.23,1.0,7599.188,832727266158.98,226440.0,3623.0,2403510.0,2193362.1117184595,206641.50204389746,3306.2275300522897
Poland,Europe,37846605.0,78.73,6.62,27216.445,1030050043419.225,68517.0,2078.0,2628272.0,6944538.35423283,181038.69554481836,5490.584954713903
Portugal,Europe,10196707.0,82.05,3.39,27936.896,284864343001.472,58633.0,1827.0,2058544.0,20188321.58264428,575018.9742629655,17917.549263698565
Puerto Rico,North America,2860840.0,80.1,,35044.67,100257193722.79999,34003.0,443.0,,,1188566.9943093637,15484.962458578599
Qatar,Asia,2881060.0,80.23,1.2,116935.6,336898479736.0,119206.0,199.0,634745.0,22031648.073972773,4137574.3649906632,6907.17999625138
Romania,Europe,19237682.0,76.05,6.892,23313.199,448491908764.718,89891.0,3721.0,1825272.0,9488003.804200526,467265.2349695769,19342.247158467428
Russia,Europe,145934460.0,72.58,8.05,24765.954,3614206123374.8403,1005000.0,17414.0,37176827.0,25475015.97634993,688665.309070935,11932.75392254852
Rwanda,Africa,12952209.0,69.02,,1854.211,24016128402.099,4218.0,17.0,393237.0,3036061.2618280016,32565.87351238696,131.25174246338983
Saint Kitts and Nevis,North America,53192.0,76.23,2.3,24654.385,1311416046.9199998,17.0,0.0,,,31959.693186945406,0.0
Saint Lucia,North America,183629.0,76.2,1.3,12951.839,2378333243.731,26.0,0.0,,,14158.983602807835,0.0
Saint Vincent and the Grenadines,North America,110947.0,72.53,2.6,10727.146,1190144667.262,61.0,0.0,,,54981.207243098055,0.0
San Marino,Europe,33938.0,84.97,3.8,56861.47,1929764568.8600001,735.0,42.0,,,2165713.948965761,123755.08279804348
Sao Tome and Principe,Africa,219161.0,70.39,2.9,3052.7140000000004,669035852.9540001,896.0,15.0,,,408831.86333334853,6844.283426339541
Saudi Arabia,Asia,34813867.0,75.13,2.7,49045.41099999999,1707460415514.3367,317486.0,3956.0,5160518.0,14823168.020949813,911952.6997675955,11363.288082878009
